observacoes;nome_popular;nome_cientifico
16;sabiá-do-banhado;Embernagra platensis
28;tiziu;Volatinia jacarina
6;caboclinho-de-barriga-vermelha;Sporophila hypoxantha
17;caboclinho-de-barriga-preta;Sporophila melanogaster
7;coleirinho;Sporophila caerulescens
11;coleiro-do-brejo;Sporophila collaris
12;tico-tico-rei;Coryphospingus cucullatus
10;cambacica;Coereba flaveola
2;trinca-ferro;Saltator similis
4;bico-duro;Saltator aurantiirostris
23;galinha-d'angola;Numida meleagris
